"ID","t","DS","Tank"
"Ind. 92",0,"Sb","T1"
"Ind. 93",0,"Sb","T1"
"Ind. 94",0,"Sb","T1"
"Ind. 95",0,"Sb","T1"
"Ind. 96",0,"Sb","T1"
"Ind. 97",0,"Sb","T1"
"Ind. 98",0,"Sb","T1"
"Ind. 99",0,"Sb","T1"
"Ind. 100",0,"Sb","T1"
"Ind. 101",0,"Sb","T1"
"Ind. 102",0,"Sb","T1"
"Ind. 103",0,"Sb","T1"
"Ind. 104",0,"Sb","T1"
"Ind. 105",0,"Sb","T1"
"Ind. 106",0,"Sb","T1"
"Ind. 107",0,"Sb","T1"
"Ind. 108",0,"Sb","T1"
"Ind. 109",0,"Sb","T1"
"Ind. 110",0,"Sb","T1"
"Ind. 111",0,"Sb","T1"
"Ind. 112",0,"Sb","T1"
"Ind. 113",0,"Sb","T1"
"Ind. 114",0,"Sb","T1"
"Ind. 115",0,"Sb","T1"
"Ind. 116",0,"Sb","T1"
"Ind. 117",0,"Sb","T1"
"Ind. 118",0,"Sb","T1"
"Ind. 119",0,"Sb","T1"
"Ind. 120",0,"Sb","T1"
"Ind. 121",0,"Sb","T1"
"Ind. 122",0,"Sb","T1"
"Ind. 123",0,"Sb","T1"
"Ind. 124",0,"Sb","T1"
"Ind. 125",0,"Sb","T1"
"Ind. 126",0,"Sb","T1"
"Ind. 127",0,"Sb","T1"
"Ind. 128",0,"Sb","T1"
"Ind. 129",0,"Sb","T1"
"Ind. 130",0,"Sb","T1"
"Ind. 131",0,"Sb","T1"
"Ind. 132",0,"Sb","T1"
"Ind. 133",0,"Sb","T1"
"Ind. 134",0,"Sb","T1"
"Ind. 135",0,"Sb","T1"
"Ind. 136",0,"Sb","T1"
"Ind. 137",0,"Sb","T1"
"Ind. 138",0,"Sb","T1"
"Ind. 139",0,"Sb","T1"
"Ind. 140",0,"Sb","T1"
"Ind. 141",0,"Sb","T1"
"Ind. 142",0,"Sb","T1"
"Ind. 143",0,"Sb","T1"
"Ind. 144",0,"Sb","T1"
"Ind. 145",0,"Sb","T1"
"Ind. 146",0,"Sb","T1"
"Ind. 147",0,"Sb","T1"
"Ind. 148",0,"Sb","T1"
"Ind. 149",0,"Sb","T1"
"Ind. 150",0,"Sb","T1"
"Ind. 151",0,"Sb","T1"
"Ind. 152",0,"Sb","T1"
"Ind. 153",0,"Sb","T1"
"Ind. 154",0,"Sb","T1"
"Ind. 155",0,"Sb","T1"
"Ind. 156",0,"Sb","T1"
"Ind. 157",0,"Sb","T1"
"Ind. 158",0,"Sb","T1"
"Ind. 159",0,"Sb","T1"
"Ind. 160",0,"Sb","T1"
"Ind. 161",0,"Sb","T1"
"Ind. 162",0,"Sb","T1"
"Ind. 163",0,"Sb","T1"
"Ind. 164",0,"Sb","T1"
"Ind. 165",0,"Sb","T1"
"Ind. 166",0,"Sb","T1"
"Ind. 167",0,"Sb","T1"
"Ind. 168",0,"Sb","T1"
"Ind. 169",0,"Sb","T1"
"Ind. 170",0,"Sb","T1"
"Ind. 171",0,"Sb","T1"
"Ind. 172",0,"Sb","T1"
"Ind. 173",0,"Sb","T1"
"Ind. 174",0,"Sb","T1"
"Ind. 175",0,"Sb","T1"
"Ind. 176",0,"Sb","T1"
"Ind. 177",0,"Sb","T1"
"Ind. 178",0,"Sb","T1"
"Ind. 179",0,"Sb","T1"
"Ind. 180",0,"Sb","T1"
"Ind. 181",0,"Sb","T1"
"Ind. 182",0,"Sb","T1"
"Ind. 183",0,"Sb","T1"
"Ind. 184",0,"Sb","T1"
"Ind. 185",0,"Sb","T1"
"Ind. 186",0,"Sb","T1"
"Ind. 187",0,"Sb","T1"
"Ind. 188",0,"Sb","T1"
"Ind. 189",0,"Sb","T1"
"Ind. 190",0,"Sb","T1"
"Ind. 191",0,"Sb","T1"
"Ind. 192",0,"Sb","T1"
"Ind. 193",0,"Sb","T1"
"Ind. 194",0,"Sb","T1"
"Ind. 195",0,"Sb","T1"
"Ind. 196",0,"Sb","T1"
"Ind. 197",0,"Sb","T1"
"Ind. 198",0,"Sb","T1"
"Ind. 199",0,"Sb","T1"
"Ind. 200",0,"Sb","T1"
"Ind. 201",0,"Sb","T1"
"Ind. 202",0,"Sb","T1"
"Ind. 203",0,"Sb","T1"
"Ind. 204",0,"Sb","T1"
"Ind. 205",0,"Sb","T1"
"Ind. 206",0,"Sb","T1"
"Ind. 207",0,"Sb","T1"
"Ind. 208",0,"Sb","T1"
"Ind. 209",0,"Sb","T1"
"Ind. 210",0,"Sb","T1"
"Ind. 211",0,"Sb","T1"
"Ind. 212",0,"Sb","T1"
"Ind. 213",0,"Sb","T1"
"Ind. 214",0,"Sb","T1"
"Ind. 215",0,"Sb","T1"
"Ind. 216",0,"Sb","T1"
"Ind. 217",0,"Sb","T1"
"Ind. 218",0,"Sb","T1"
"Ind. 219",0,"Sb","T1"
"Ind. 220",0,"Sb","T1"
"Ind. 221",0,"Sb","T1"
"Ind. 222",0,"Sb","T1"
"Ind. 223",0,"Sb","T1"
"Ind. 224",0,"Sb","T1"
"Ind. 225",0,"Sb","T1"
"Ind. 226",0,"Sb","T1"
"Ind. 227",0,"Sb","T1"
"Ind. 228",0,"Sb","T1"
"Ind. 229",0,"Sb","T1"
"Ind. 230",0,"Sb","T1"
"Ind. 231",0,"Sb","T1"
"Ind. 232",0,"Sb","T1"
"Ind. 233",0,"Sb","T1"
"Ind. 234",0,"Sb","T1"
"Ind. 235",0,"Sb","T1"
"Ind. 236",0,"Sb","T1"
"Ind. 237",0,"Sb","T1"
"Ind. 238",0,"Sb","T1"
"Ind. 239",0,"Sb","T1"
"Ind. 240",0,"Sb","T1"
"Ind. 241",0,"Sb","T1"
"Ind. 242",0,"Sb","T1"
"Ind. 243",0,"Sb","T1"
"Ind. 244",0,"Sb","T1"
"Ind. 245",0,"Sb","T1"
"Ind. 246",0,"Sb","T1"
"Ind. 247",0,"Sb","T1"
"Ind. 248",0,"Sb","T1"
"Ind. 249",0,"Sb","T1"
"Ind. 250",0,"Sb","T1"
"Ind. 251",0,"Sb","T1"
"Ind. 252",0,"Sb","T1"
"Ind. 253",0,"Sb","T1"
"Ind. 254",0,"Sb","T1"
"Ind. 255",0,"Sb","T1"
"Ind. 256",0,"Sb","T1"
"Ind. 257",0,"Sb","T1"
"Ind. 258",0,"Sb","T1"
"Ind. 259",0,"Sb","T1"
"Ind. 260",0,"Sb","T1"
"Ind. 261",0,"Sb","T1"
"Ind. 262",0,"Sb","T1"
"Ind. 263",0,"Sb","T1"
"Ind. 264",0,"Sb","T1"
"Ind. 265",0,"Sb","T1"
"Ind. 266",0,"Sb","T1"
"Ind. 267",0,"Sb","T1"
"Ind. 268",0,"Sb","T1"
"Ind. 269",0,"Sb","T1"
"Ind. 270",0,"Sb","T1"
"Ind. 271",0,"Sb","T1"
"Ind. 272",0,"Sb","T1"
"Ind. 273",0,"Sb","T1"
"Ind. 274",0,"Sb","T1"
"Ind. 275",0,"Sb","T1"
"Ind. 276",0,"Sb","T1"
"Ind. 277",0,"Sb","T1"
"Ind. 278",0,"Sb","T1"
"Ind. 279",0,"Sb","T1"
"Ind. 280",0,"Sb","T1"
"Ind. 281",0,"Sb","T1"
"Ind. 282",0,"Sb","T1"
"Ind. 283",0,"Sb","T1"
"Ind. 284",0,"Sb","T1"
"Ind. 285",0,"Sb","T1"
"Ind. 286",0,"Sb","T1"
"Ind. 287",0,"Sb","T1"
"Ind. 288",0,"Sb","T1"
"Ind. 289",0,"Sb","T1"
"Ind. 290",0,"Sb","T1"
"Ind. 291",0,"Sb","T1"
"Ind. 292",0,"Sb","T1"
"Ind. 293",0,"Sb","T1"
"Ind. 294",0,"Sb","T1"
"Ind. 295",0,"Sb","T1"
"Ind. 296",0,"Sb","T1"
"Ind. 297",0,"Sb","T1"
"Ind. 298",0,"Sb","T1"
"Ind. 299",0,"Sb","T1"
"Ind. 300",0,"Sb","T1"
"Ind. 301",0,"Sb","T1"
"Ind. 302",0,"Sb","T1"
"Ind. 303",0,"Sb","T1"
"Ind. 304",0,"Sb","T1"
"Ind. 305",0,"Sb","T1"
"Ind. 306",0,"Sb","T1"
"Ind. 307",0,"Sb","T1"
"Ind. 308",0,"Sb","T1"
"Ind. 309",0,"Sb","T1"
"Ind. 310",0,"Sb","T1"
"Ind. 311",0,"Sb","T1"
"Ind. 312",0,"Sb","T1"
"Ind. 313",0,"Sb","T1"
"Ind. 314",0,"Sb","T1"
"Ind. 315",0,"Sb","T1"
"Ind. 316",0,"Sb","T1"
"Ind. 317",0,"Sb","T1"
"Ind. 318",0,"Sb","T1"
"Ind. 319",0,"Sb","T1"
"Ind. 320",0,"Sb","T1"
"Ind. 321",0,"Sb","T1"
"Ind. 322",0,"Sb","T1"
"Ind. 323",0,"Sb","T1"
"Ind. 324",0,"Sb","T1"
"Ind. 325",0,"Sb","T1"
"Ind. 326",0,"Sb","T1"
"Ind. 327",0,"Sb","T1"
"Ind. 328",0,"Sb","T1"
"Ind. 329",0,"Sb","T1"
"Ind. 330",0,"Sb","T1"
"Ind. 331",0,"Sb","T1"
"Ind. 332",0,"Sb","T1"
"Ind. 333",0,"Sb","T1"
"Ind. 334",0,"Sb","T1"
"Ind. 335",0,"Sb","T1"
"Ind. 336",0,"Sb","T1"
"Ind. 337",0,"Sb","T1"
"Ind. 338",0,"Sb","T1"
"Ind. 339",0,"Sb","T1"
"Ind. 340",0,"Sb","T1"
"Ind. 341",0,"Sb","T1"
"Ind. 342",0,"Sb","T1"
"Ind. 343",0,"Sb","T1"
"Ind. 344",0,"Sb","T1"
"Ind. 345",0,"Sb","T1"
"Ind. 346",0,"Sb","T1"
"Ind. 347",0,"Sb","T1"
"Ind. 348",0,"Sb","T1"
"Ind. 349",0,"Sb","T1"
"Ind. 350",0,"Sb","T1"
"Ind. 351",0,"Sb","T1"
"Ind. 352",0,"Sb","T1"
"Ind. 353",0,"Sb","T1"
"Ind. 354",0,"Sb","T1"
"Ind. 355",0,"Sb","T1"
"Ind. 356",0,"Sb","T1"
"Ind. 357",0,"Sb","T1"
"Ind. 358",0,"Sb","T1"
"Ind. 359",0,"Sb","T1"
"Ind. 360",0,"Sb","T1"
"Ind. 361",0,"Sb","T1"
"Ind. 362",0,"Sb","T1"
"Ind. 363",0,"Sb","T1"
"Ind. 364",0,"Sb","T1"
"Ind. 365",0,"Sb","T1"
"Ind. 366",0,"Sb","T1"
"Ind. 367",0,"Sb","T1"
"Ind. 368",0,"Sb","T1"
"Ind. 369",0,"Sb","T1"
"Ind. 370",0,"Sb","T1"
"Ind. 371",0,"Sb","T1"
"Ind. 372",0,"Sb","T1"
"Ind. 373",0,"Sb","T1"
"Ind. 374",0,"Sb","T1"
"Ind. 375",0,"Sb","T1"
"Ind. 376",0,"Sb","T1"
"Ind. 377",0,"Sb","T1"
"Ind. 378",0,"Sb","T1"
"Ind. 379",0,"Sb","T1"
"Ind. 380",0,"Sb","T1"
"Ind. 381",0,"Sb","T1"
"Ind. 382",0,"Sb","T1"
"Ind. 383",0,"Sb","T1"
"Ind. 384",0,"Sb","T1"
"Ind. 385",0,"Sb","T1"
"Ind. 386",0,"Sb","T1"
"Ind. 387",0,"Sb","T1"
"Ind. 388",0,"Sb","T1"
"Ind. 389",0,"Sb","T1"
"Ind. 390",0,"Sb","T1"
"Ind. 391",0,"Sb","T1"
"Ind. 392",0,"Sb","T1"
"Ind. 393",0,"Sb","T1"
"Ind. 394",0,"Sb","T1"
"Ind. 395",0,"Sb","T1"
"Ind. 396",0,"Sb","T1"
"Ind. 397",0,"Sb","T1"
"Ind. 398",0,"Sb","T1"
"Ind. 399",0,"Sb","T1"
"Ind. 400",0,"Sb","T1"
"Ind. 401",0,"Sb","T1"
"Ind. 402",0,"Ib","T1"
"Ind. 403",0,"Sa","T2"
"Ind. 404",0,"Sa","T2"
"Ind. 405",0,"Sa","T2"
"Ind. 406",0,"Sa","T2"
"Ind. 407",0,"Sa","T2"
"Ind. 408",0,"Sa","T2"
"Ind. 409",0,"Sa","T2"
"Ind. 410",0,"Sa","T2"
"Ind. 411",0,"Sa","T2"
"Ind. 412",0,"Sa","T2"
"Ind. 413",0,"Sa","T2"
"Ind. 414",0,"Sa","T2"
"Ind. 415",0,"Sa","T2"
"Ind. 416",0,"Sa","T2"
"Ind. 417",0,"Sa","T2"
"Ind. 418",0,"Sa","T2"
"Ind. 419",0,"Sa","T2"
"Ind. 420",0,"Sa","T2"
"Ind. 421",0,"Sa","T2"
"Ind. 422",0,"Sa","T2"
"Ind. 423",0,"Sa","T2"
"Ind. 424",0,"Sa","T2"
"Ind. 425",0,"Sa","T2"
"Ind. 426",0,"Sa","T2"
"Ind. 427",0,"Sa","T2"
"Ind. 428",0,"Sa","T2"
"Ind. 429",0,"Sa","T2"
"Ind. 430",0,"Sa","T2"
"Ind. 431",0,"Sa","T2"
"Ind. 432",0,"Sa","T2"
"Ind. 433",0,"Sa","T2"
"Ind. 434",0,"Sa","T2"
"Ind. 435",0,"Sa","T2"
"Ind. 436",0,"Sa","T2"
"Ind. 437",0,"Sa","T2"
"Ind. 438",0,"Sa","T2"
"Ind. 439",0,"Sa","T2"
"Ind. 440",0,"Sa","T2"
"Ind. 441",0,"Sa","T2"
"Ind. 442",0,"Sa","T2"
"Ind. 443",0,"Sa","T2"
"Ind. 444",0,"Sa","T2"
"Ind. 445",0,"Sa","T2"
"Ind. 446",0,"Sa","T2"
"Ind. 447",0,"Sa","T2"
"Ind. 448",0,"Sa","T2"
"Ind. 449",0,"Sa","T2"
"Ind. 450",0,"Sa","T2"
"Ind. 451",0,"Sa","T2"
"Ind. 452",0,"Sa","T2"
"Ind. 453",0,"Sa","T2"
"Ind. 454",0,"Sa","T2"
"Ind. 455",0,"Sa","T2"
"Ind. 456",0,"Sa","T2"
"Ind. 457",0,"Sa","T2"
"Ind. 458",0,"Sa","T2"
"Ind. 459",0,"Sa","T2"
"Ind. 460",0,"Sa","T2"
"Ind. 461",0,"Sa","T2"
"Ind. 462",0,"Sa","T2"
"Ind. 463",0,"Sa","T2"
"Ind. 464",0,"Sa","T2"
"Ind. 465",0,"Sa","T2"
"Ind. 466",0,"Sa","T2"
"Ind. 467",0,"Sa","T2"
"Ind. 468",0,"Sa","T2"
"Ind. 469",0,"Sa","T2"
"Ind. 470",0,"Sa","T2"
"Ind. 471",0,"Sa","T2"
"Ind. 472",0,"Sa","T2"
"Ind. 473",0,"Sa","T2"
"Ind. 474",0,"Sa","T2"
"Ind. 475",0,"Sa","T2"
"Ind. 476",0,"Sa","T2"
"Ind. 477",0,"Sa","T2"
"Ind. 478",0,"Sa","T2"
"Ind. 479",0,"Sa","T2"
"Ind. 480",0,"Sa","T2"
"Ind. 481",0,"Sa","T2"
"Ind. 482",0,"Sa","T2"
"Ind. 483",0,"Sa","T2"
"Ind. 484",0,"Sa","T2"
"Ind. 485",0,"Sa","T2"
"Ind. 486",0,"Sa","T2"
"Ind. 487",0,"Sa","T2"
"Ind. 488",0,"Sa","T2"
"Ind. 489",0,"Sa","T2"
"Ind. 490",0,"Sa","T2"
"Ind. 491",0,"Sa","T2"
"Ind. 492",0,"Sa","T2"
"Ind. 493",0,"Sa","T2"
"Ind. 494",0,"Sa","T2"
"Ind. 495",0,"Sa","T2"
"Ind. 496",0,"Sa","T2"
"Ind. 497",0,"Sa","T2"
"Ind. 498",0,"Sa","T2"
"Ind. 499",0,"Sa","T2"
"Ind. 500",0,"Sa","T2"
"Ind. 501",0,"Sa","T2"
"Ind. 502",0,"Sa","T2"
"Ind. 503",0,"Sa","T2"
"Ind. 504",0,"Sa","T2"
"Ind. 505",0,"Sa","T2"
"Ind. 506",0,"Sa","T2"
"Ind. 507",0,"Sa","T2"
"Ind. 508",0,"Sa","T2"
"Ind. 509",0,"Sa","T2"
"Ind. 510",0,"Sa","T2"
"Ind. 511",0,"Sa","T2"
"Ind. 512",0,"Sa","T2"
"Ind. 513",0,"Sa","T2"
"Ind. 514",0,"Sa","T2"
"Ind. 515",0,"Sa","T2"
"Ind. 516",0,"Sa","T2"
"Ind. 517",0,"Sa","T2"
"Ind. 518",0,"Sa","T2"
"Ind. 519",0,"Sa","T2"
"Ind. 520",0,"Sa","T2"
"Ind. 521",0,"Sa","T2"
"Ind. 522",0,"Sa","T2"
"Ind. 523",0,"Sa","T2"
"Ind. 524",0,"Sa","T2"
"Ind. 525",0,"Sa","T2"
"Ind. 526",0,"Sa","T2"
"Ind. 527",0,"Sa","T2"
"Ind. 528",0,"Sa","T2"
"Ind. 529",0,"Sa","T2"
"Ind. 530",0,"Sa","T2"
"Ind. 531",0,"Sa","T2"
"Ind. 532",0,"Sa","T2"
"Ind. 533",0,"Sa","T2"
"Ind. 534",0,"Sa","T2"
"Ind. 535",0,"Sa","T2"
"Ind. 536",0,"Sa","T2"
"Ind. 537",0,"Sa","T2"
"Ind. 538",0,"Sa","T2"
"Ind. 539",0,"Sa","T2"
"Ind. 540",0,"Sa","T2"
"Ind. 541",0,"Sa","T2"
"Ind. 542",0,"Sa","T2"
"Ind. 543",0,"Sa","T2"
"Ind. 544",0,"Sa","T2"
"Ind. 545",0,"Sa","T2"
"Ind. 546",0,"Sa","T2"
"Ind. 547",0,"Sa","T2"
"Ind. 548",0,"Sa","T2"
"Ind. 549",0,"Sa","T2"
"Ind. 550",0,"Sa","T2"
"Ind. 551",0,"Sa","T2"
"Ind. 552",0,"Sa","T2"
"Ind. 553",0,"Sa","T2"
"Ind. 554",0,"Sa","T2"
"Ind. 555",0,"Sa","T2"
"Ind. 556",0,"Sa","T2"
"Ind. 557",0,"Sa","T2"
"Ind. 558",0,"Sa","T2"
"Ind. 559",0,"Sa","T2"
"Ind. 560",0,"Sa","T2"
"Ind. 561",0,"Sa","T2"
"Ind. 562",0,"Sa","T2"
"Ind. 563",0,"Sa","T2"
"Ind. 564",0,"Sa","T2"
"Ind. 565",0,"Sa","T2"
"Ind. 566",0,"Sa","T2"
"Ind. 567",0,"Sa","T2"
"Ind. 568",0,"Sa","T2"
"Ind. 569",0,"Sa","T2"
"Ind. 570",0,"Sa","T2"
"Ind. 571",0,"Sa","T2"
"Ind. 572",0,"Sa","T2"
"Ind. 573",0,"Sa","T2"
"Ind. 574",0,"Sa","T2"
"Ind. 575",0,"Sa","T2"
"Ind. 576",0,"Sa","T2"
"Ind. 577",0,"Sa","T2"
"Ind. 578",0,"Sa","T2"
"Ind. 579",0,"Sa","T2"
"Ind. 580",0,"Sa","T2"
"Ind. 581",0,"Sa","T2"
"Ind. 582",0,"Sa","T2"
"Ind. 583",0,"Sa","T2"
"Ind. 584",0,"Sa","T2"
"Ind. 585",0,"Sa","T2"
"Ind. 586",0,"Sa","T2"
"Ind. 587",0,"Sa","T2"
"Ind. 588",0,"Sa","T2"
"Ind. 589",0,"Sa","T2"
"Ind. 590",0,"Sa","T2"
"Ind. 591",0,"Sa","T2"
"Ind. 592",0,"Sa","T2"
"Ind. 593",0,"Sa","T2"
"Ind. 594",0,"Sa","T2"
"Ind. 595",0,"Sa","T2"
"Ind. 596",0,"Sa","T2"
"Ind. 597",0,"Sa","T2"
"Ind. 598",0,"Sa","T2"
"Ind. 599",0,"Sa","T2"
"Ind. 600",0,"Sa","T2"
"Ind. 601",0,"Sa","T2"
"Ind. 602",0,"Sa","T2"
"Ind. 603",0,"Sa","T2"
"Ind. 604",0,"Sa","T2"
"Ind. 605",0,"Sa","T2"
"Ind. 606",0,"Sa","T2"
"Ind. 607",0,"Sa","T2"
"Ind. 608",0,"Sa","T2"
"Ind. 609",0,"Sa","T2"
"Ind. 610",0,"Sa","T2"
"Ind. 611",0,"Sa","T2"
"Ind. 612",0,"Sa","T2"
"Ind. 613",0,"Sa","T2"
"Ind. 614",0,"Sa","T2"
"Ind. 615",0,"Sa","T2"
"Ind. 616",0,"Sa","T2"
"Ind. 617",0,"Sa","T2"
"Ind. 618",0,"Sa","T2"
"Ind. 619",0,"Sa","T2"
"Ind. 620",0,"Sa","T2"
"Ind. 621",0,"Sa","T2"
"Ind. 622",0,"Sa","T2"
"Ind. 623",0,"Sa","T2"
"Ind. 624",0,"Sa","T2"
"Ind. 625",0,"Sa","T2"
"Ind. 626",0,"Sa","T2"
"Ind. 627",0,"Sa","T2"
"Ind. 628",0,"Sa","T2"
"Ind. 629",0,"Sa","T2"
"Ind. 630",0,"Sa","T2"
"Ind. 631",0,"Sa","T2"
"Ind. 632",0,"Sa","T2"
"Ind. 633",0,"Sa","T2"
"Ind. 634",0,"Sa","T2"
"Ind. 635",0,"Sa","T2"
"Ind. 636",0,"Sa","T2"
"Ind. 637",0,"Sa","T2"
"Ind. 638",0,"Sa","T2"
"Ind. 639",0,"Sa","T2"
"Ind. 640",0,"Sa","T2"
"Ind. 641",0,"Sa","T2"
"Ind. 642",0,"Sa","T2"
"Ind. 643",0,"Sa","T2"
"Ind. 644",0,"Sa","T2"
"Ind. 645",0,"Sa","T2"
"Ind. 646",0,"Sa","T2"
"Ind. 647",0,"Sa","T2"
"Ind. 648",0,"Sa","T2"
"Ind. 649",0,"Sa","T2"
"Ind. 650",0,"Sa","T2"
"Ind. 651",0,"Sa","T2"
"Ind. 652",0,"Sa","T2"
"Ind. 653",0,"Sa","T2"
"Ind. 654",0,"Sa","T2"
"Ind. 655",0,"Sa","T2"
"Ind. 656",0,"Sa","T2"
"Ind. 657",0,"Sa","T2"
"Ind. 658",0,"Sa","T2"
"Ind. 659",0,"Sa","T2"
"Ind. 660",0,"Sa","T2"
"Ind. 661",0,"Sa","T2"
"Ind. 662",0,"Sa","T2"
"Ind. 663",0,"Sa","T2"
"Ind. 664",0,"Sa","T2"
"Ind. 665",0,"Sa","T2"
"Ind. 666",0,"Sa","T2"
"Ind. 667",0,"Sa","T2"
"Ind. 668",0,"Sa","T2"
"Ind. 669",0,"Sa","T2"
"Ind. 670",0,"Sa","T2"
"Ind. 671",0,"Sa","T2"
"Ind. 672",0,"Sa","T2"
"Ind. 673",0,"Sa","T2"
"Ind. 674",0,"Sa","T2"
"Ind. 675",0,"Sa","T2"
"Ind. 676",0,"Sa","T2"
"Ind. 677",0,"Sa","T2"
"Ind. 678",0,"Sa","T2"
"Ind. 679",0,"Sa","T2"
"Ind. 680",0,"Sa","T2"
"Ind. 681",0,"Sa","T2"
"Ind. 682",0,"Sa","T2"
"Ind. 683",0,"Sa","T2"
"Ind. 684",0,"Sa","T2"
"Ind. 685",0,"Sa","T2"
"Ind. 686",0,"Sa","T2"
"Ind. 687",0,"Sa","T2"
"Ind. 688",0,"Sa","T2"
"Ind. 689",0,"Sa","T2"
"Ind. 690",0,"Sa","T2"
"Ind. 691",0,"Sa","T2"
"Ind. 692",0,"Sa","T2"
"Ind. 693",0,"Sa","T2"
"Ind. 694",0,"Sa","T2"
"Ind. 695",0,"Sa","T2"
"Ind. 696",0,"Sa","T2"
"Ind. 697",0,"Sa","T2"
"Ind. 698",0,"Sa","T2"
"Ind. 699",0,"Sa","T2"
"Ind. 700",0,"Sa","T2"
"Ind. 701",0,"Sa","T2"
"Ind. 702",0,"Sa","T2"
"Ind. 703",0,"Sa","T2"
"Ind. 704",0,"Sa","T2"
"Ind. 705",0,"Sa","T2"
"Ind. 706",0,"Sa","T2"
"Ind. 707",0,"Sa","T2"
"Ind. 708",0,"Sa","T2"
"Ind. 709",0,"Sa","T2"
"Ind. 710",0,"Sa","T2"
"Ind. 711",0,"Sa","T2"
"Ind. 712",0,"Sa","T2"
"Ind. 713",0,"Sa","T2"
"Ind. 714",0,"Sa","T2"
"Ind. 715",0,"Sa","T2"
"Ind. 716",0,"Sa","T2"
"Ind. 717",0,"Sa","T2"
"Ind. 718",0,"Sa","T2"
"Ind. 719",0,"Sa","T2"
"Ind. 720",0,"Sa","T2"
"Ind. 721",0,"Sa","T2"
"Ind. 722",0,"Sa","T2"
"Ind. 723",0,"Sa","T2"
"Ind. 724",0,"Sa","T2"
"Ind. 725",0,"Sa","T2"
"Ind. 726",0,"Sa","T2"
"Ind. 727",0,"Sa","T2"
"Ind. 728",0,"Sa","T2"
"Ind. 729",0,"Sa","T2"
"Ind. 730",0,"Sa","T2"
"Ind. 731",0,"Sa","T2"
"Ind. 732",0,"Sa","T2"
"Ind. 733",0,"Sa","T2"
"Ind. 734",0,"Sa","T2"
"Ind. 735",0,"Ia","T2"
